levelname,minsolutionlength,solution,numberofmoves,maxnumcandidatesinmem,numvisitedstates,visitedstateimproved,visitedstatedropped
levels/P2L36,20,"(6,7)-SQR-L/(2,7)-WLF-L/(3,7)-WLF-U/(4,6)-MSE-U/(5,6)-MSE-U/(3,6)-MSE-L/(6,6)-SQR-U/(3,4)-MSE-U/(3,6)-SQR-L/(3,4)-SQR-U/(2,6)-MSE-L/(1,7)-WLF-D/(2,5)-MSE-D/(2,4)-SQR-R/(2,1)-WLF-R/(3,5)-MSE-R/(2,4)-WLF-D/(3,4)-WLF-R/(3,6)-WLF-D/(2,7)-SQR-L/",232198,1689,14738,630,198129,
levels/P3L01,5,"(2,6)-MSE-L/(6,4)-SQR-L/(6,3)-SQR-U/(3,3)-SQR-R/(3,8)-SQR-D/",68,16,25,0,41,
levels/P3L02,7,"(6,4)-MSE-U/(2,4)-MSE-L/(2,3)-MSE-D/(4,3)-MSE-R/(4,1)-SQR-R/(4,4)-SQR-D/(6,4)-SQR-R/",51,4,10,0,35,
levels/P3L03,9,"(5,5)-MSE-U/(2,5)-MSE-L/(6,5)-MSE-U/(2,5)-MSE-L/(2,4)-MSE-U/(1,2)-SQR-R/(2,3)-MSE-D/(1,3)-SQR-D/(4,3)-SQR-R/",551,20,67,0,442,
levels/P3L04,10,"(5,4)-SQR-U/(4,4)-SQR-L/(5,7)-HOG-L/(4,3)-SQR-R/(4,4)-SQR-D/(2,6)-MSE-D/(5,6)-MSE-R/(5,4)-SQR-R/(5,6)-SQR-U/(2,6)-SQR-L/",206,8,30,0,158,
levels/P3L05,10,"(6,2)-HOG-R/(6,4)-HOG-U/(3,4)-HOG-L/(4,2)-SQR-R/(2,4)-HOG-R/(4,4)-SQR-U/(1,4)-SQR-L/(1,3)-SQR-D/(2,3)-SQR-R/(2,6)-SQR-D/",1984,63,222,0,1474,
levels/P3L06,3,"(3,5)-ALG-R/(3,6)-ALG-D/(3,2)-SQR-R/",19,1,2,0,12,
levels/P3L07,6,"(2,5)-SQR-D/(2,7)-ALG-D/(5,7)-ALG-L/(5,3)-ALG-U/(3,3)-ALG-D/(3,5)-SQR-L/",170,8,21,0,117,
levels/P3L08,10,"(6,3)-HOG-U/(1,7)-MSE-R/(2,3)-HOG-R/(2,7)-HOG-D/(5,5)-SQR-U/(1,8)-MSE-L/(1,7)-MSE-D/(2,5)-SQR-R/(2,6)-SQR-D/(4,6)-SQR-R/",991,28,130,0,778,
levels/P3L09,12,"(3,4)-ALG-R/(3,8)-ALG-L/(1,8)-MSE-D/(6,8)-MSE-L/(6,4)-MSE-U/(3,1)-ALG-R/(3,8)-ALG-D/(5,4)-MSE-L/(5,1)-MSE-D/(1,1)-SQR-D/(5,1)-SQR-R/(5,5)-SQR-U/",12257,177,922,0,10038,
